field_name,generated_dtype,dataset
event_id,object,retail_events.csv
transaction_id,object,retail_events.csv
store_id,object,retail_events.csv
store_city,object,retail_events.csv
province,object,retail_events.csv
store_region,object,retail_events.csv
event_timestamp,object,retail_events.csv
product_id,object,retail_events.csv
product_name,object,retail_events.csv
category,object,retail_events.csv
quantity,int64,retail_events.csv
unit_price,float64,retail_events.csv
discount_amount,float64,retail_events.csv
final_price,float64,retail_events.csv
promotion_flag,object,retail_events.csv
promotion_id,object,retail_events.csv
payment_type,object,retail_events.csv
loyalty_flag,object,retail_events.csv
